UpdatedDate,ItemSku,ItemDocumentNote,ItemImageApprovalDate,ItemImageExpirationDate,ItemImageActiveDate,ItemDocumentValue,UPCTypeName,ItemPrimaryIndicator,ProductStatusnote,ProductName,MarketingName,MarketingDetails,MarketingFeatures,L6_Name,L5_Name,L4_Name,L3_Name,L2_Name,L6_Code,L5_Code,L4_Code,L3_Code,L2_Code
2021-03-15T08:30:07.300Z,19283315462,upc_img_pth_frnt,2021-01-26,2099-12-31,2021-01-19,http://static.meijer.com/Media/001/92833/0019283315462_0_A1C1_0600.png,UPCA,Y,Active,YANKEE CANDLE SIGNATURE SM TUM VNL CUPCAKE 4.3OZ  ,"Yankee Candle Signature Collection Small Tumbler Vanilla Cupcake, 4.3 Oz.","About this fragrance... The rich, creamy aroma of vanilla cupcakes with hints of lemon and lots of buttery icing.    Fragrance Notes:    Top: Vanilla Icing, Malted Sugar  Mid: Cake Batter, Chocolate  Base: Cocoa, Vanilla Bean  Top note is the initial impression of the fragrance, middle note is the main body of the scent, and base is its final impression.","Experience the Yankee Candle® brand, totally reimagined  A fresh take on our Tumbler shape features a brushed tin lid that fits neatly under the base to serve as a candle coaster  A cotton wick and a premium soy-wax blend provide a clean burn  Hand-illustrated labels and vibrant wax colors are perfectly matched with Collection-exclusive and tried-and-true fragrances to create an on-trend fit for your home",HARDLINES AND HOME,HARD HOME,CANDLES AND DECOR ACCESSORIES,CANDLES AND ACCESSORIES,CANDLES JARS SMALL 8OZ OR LESS,L6-000004,L5-000054,L4-000451,L3-003962,L2-016562
2021-03-15T08:30:07.300Z,88392962061,upc_img_pth_frnt,2018-04-26,2099-12-31,2018-04-19,http://static.meijer.com/Media/008/83929/0088392962061_0_A1C1_0600.png,UPCA,Y,Active,GAME NIGHT DVD                                    ,Game Night DVD,"Bateman & McAdams star as Max & Annie, whose weekly couples Game Night gets kicked up a notch when Max's brother (Chandler) plans a murder mystery party that turns out to be real.",DVD,HARDLINES AND HOME,ENTERTAINMENT,MEDIA,MOVIES,DVD MOVIES,L6-000004,L5-000023,L4-000201,L3-003902,L2-014194
2021-03-15T08:30:07.300Z,4549659042,upc_img_pth_frnt,2017-10-03,2099-12-31,2017-10-03,http://static.meijer.com/Media/000/45496/0004549659042_0_A1C1_0600.png,UPCA,Y,Active,SWITCH LEGEND OF ZELDA BREATH OF THE WILD         ,Nintendo Switch The Legend of Zelda: Breath of the Wild,"Forget everything you know about The Legend of Zelda games. Step into a world of discovery,  exploration, and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new  game in the acclaimed series. Travel across vast fields, through forests, and to mountain peaks  as you discover what has become of the kingdom of Hyrule In this stunning Open-Air Adventure.  Now on Nintendo Switch, your journey is freer and more open than ever. Take your  system anywhere, and adventure as Link any way you like.","Explore the wilds of Hyrule any way you like—anytime, anywhere  More than 100 Shrines of Trials to discover and explore  Be prepared and properly equipped  Battling enemies requires strategy  amiibo compatibility",HARDLINES AND HOME,ENTERTAINMENT,VIDEO GAMES,VIDEO GAME SOFTWARE,SFTWR CONSOLE NINTENDO,L6-000004,L5-000023,L4-000902,L3-004315,L2-017287
2021-03-15T08:30:07.300Z,63806007772,upc_img_pth_frnt,2018-08-14,2099-12-31,2018-08-13,http://static.meijer.com/Media/006/38060/0063806007772_0_A1C1_0600.png,UPCA,Y,Active,SCOTCH SUPER HOLD TAPE 198  1PK                   ,"Scotch® Super-Hold Tape 198, 3/4 in x 650 in","From sealing envelopes to making quick fixes on the fly, rely on the powerful bond of Scotch® Super-Hold Tape. Designed with 50% more adhesive, this innovative tape offers a stronger bond than our standard transparent tape (Versus Scotch® Cat. 157 Transparent Tape). The thicker backing delivers outstanding durability when a secure, lasting hold is essential. Virtually crystal clear, this tape holds strong without standing out–perfect for repairs, mounting, crafts and more. The convenient dispenser fits comfortably in your hand and lets you unroll and cut your desired amount with ease. Whether you're concealing confidential documents, sealing a small care package, trust what matters to you to the superior adhesion of Scotch® Super-Hold Tape.","Our most secure tape for your most important jobs (Compared to Scotch® ¾ Single-Sided Home and Office Tapes) Delivers a strong bond on contact Easy-to-apply design with no mess Transparent tape practically disappears on contact Reusable dispenser is compatible with Scotch® Tape Refills Safe for use on your photos Moisture-resistant formula for a reliable bond Great for use in the home, office and classroom Compatible with permanent markers for convenient labeling Size: 3/4 in x 650 in",HARDLINES AND HOME,SCHOOL HOME OFFICE,SCHOOL HOME OFFICE,MAILING AND SHIPPING SUPPLIES,STATIONERY TAPE,L6-000004,L5-000025,L4-000472,L3-002125,L2-007539
2021-10-05T05:54:21.112Z,5389114549,upc_img_pth_frnt,2021-10-04,2099-12-31,2021-09-29,http://static.meijer.com/Media/000/53891/0005389114549_1_A1C1_0600.png,UPCA,Y,Active,OSTER MYBLEND PLUS                                ,Oster Myblend Plus,"With its sleek design and powerful motor, the new Oster® MyBlend® Plus Personal Blender makes it easy to maintain a healthy lifestyle while juggling a busy schedule. The powerful, 500 watt motor blends through tough ingredients and the 20 oz. impact-resistant, dishwasher-safe sport bottle and spill-proof lid make it easy to take your favorite nutritious drinks on-the-go. With easy, one-touch operation, simply fill the reusable sport bottle with your favorite fruits and vegetables, blend to your desired consistency, and take your drinks with you to the gym, to work, or simply enjoy in your home.",20 oz. BPA-Free Tritan Sports Bottle that is Impact Resistant and Dishwasher safe. Spill-Proof Carrying Lid for easier portability 500 watts of powerful blending Removable blade attachment for easy cleaning Easy one-touch blending operation,HARDLINES AND HOME,HARD HOME,HOME ELECTRICS,KITCHEN FOOD PREP,FOOD PREP BLENDERS,L6-000004,L5-000054,L4-000449,L3-001853,L2-006801
2021-03-15T08:30:07.300Z,71981207883,upc_img_pth_frnt,2015-07-06,2099-12-31,2015-07-06,http://static.meijer.com/Media/071/98120/0719812078830_a1c1_0600.png,UPCA,Y,Active,OXO SW NO-SPILL ICE CUBE TRAY                     ,OXO Softworks No-spill Ice Cube Tray,Silicone lid seals water into tray before freezing.  Sealed lid allows for stacking and angled storage in freezer.  Comfortable handle for a firm grip while filling or carrying.  Innovative rounded ice cube shape releases easily.,No-spill Ice Cube Tray  Silicone lid  Stackable  Easy release ice cubes  Dishwasher safe  BPA free  Makes fourteen .75 oz cubes,HARDLINES AND HOME,HARD HOME,COOKWARE GADGETS,FOOD STORAGE AND BVRGWR,BEVERAGEWARE ICE TRAYS,L6-000004,L5-000054,L4-000446,L3-003959,L2-013992
2021-03-15T08:30:07.300Z,70882032091,upc_img_pth_frnt,2020-09-15,2099-12-31,2020-09-08,http://static.meijer.com/Media/007/08820/0070882032091_1_A1C1_0600.png,UPCA,Y,Active,ROOM & RETREAT 400TC SHEET SET KHAKI TWIN         ,Room & Retreat 400TC Sheet Set Khaki Twin,"Sleeps smooth and soft with these wrinkle free 100% Cotton Sateen sheets. These sheets are not only soft and luxurious, they are durable and easy to care for. A great selection of solids and patterns to complement your design style.","Wrinkle Free Deep Pocket, Fits mattress up to 19 inches Set includes: TWIN Flat sheet - 66"" x 96"" Fitted sheet - 39"" x 75"" 2 pillowcases - 20"" x 30""",HARDLINES AND HOME,HOME TEXTILES,FASHION BEDDING,SHEETS,400TC SHEETS,L6-000004,L5-000055,L4-000453,L3-003915,L2-017696
2021-10-05T05:54:21.112Z,9657700214,upc_img_pth_frnt,2021-10-04,2099-12-31,2021-10-01,http://static.meijer.com/Media/000/96577/0009657700214_1_A1C1_0600.png,UPCA,Y,Active,GRAPHIC LEVEL LOOP ASST. 2X5                      ,2X5 Graphic Level Loop,"These carpet remnants are cut from first quality wall-to-wall carpeting and cut into runner sizes. The assortment provides an opportunity to treasure hunt the rugs in each store as each store may have a different group of rugs. Great for hallways, utility rooms, laundry rooms, basements, use as a doormat for patio doors or in kitchens","Assorted colors  Bound edges  Great, economical way to add fashion to basements, utility rooms, garages and any place you need a quick flooring solution",HARDLINES AND HOME,HOME TEXTILES,LIVING ROOM,RUGS AND MATS,RUGS SCATTER,L6-000004,L5-000055,L4-000456,L3-001882,L2-013381
2021-03-15T08:30:07.300Z,1117123892,upc_img_pth_frnt,2017-10-17,2099-12-31,2017-10-16,http://static.meijer.com/Media/000/11171/0001117123892_0_A1C1_0600.png,UPCA,Y,Active,CLEAN ALL DUST & MOP DRY CLOTH REFILLS 24CT       ,Clean All Dust & Mop Cloth Refills 24ct,Includes 24 Dry Cloth Disposable Refills Refills fits Swiffer Mop!,Refills fits Swiffer Mop! Unscented and disposable. Quilted Cloth. Use for hand dusting too.,HARDLINES AND HOME,HARD HOME,HOME ORGANIZATION,CLEANING SUPPLIES,DUSTING SUPPLIES,L6-000004,L5-000054,L4-000500,L3-003971,L2-014132
2021-03-15T08:30:07.300Z,7065990674,upc_img_pth_frnt,2018-05-04,2099-12-31,2018-04-24,http://static.meijer.com/Media/000/70659/0007065990674_0_A1C1_0600.png,UPCA,Y,Active,CROCHET ERGO H                                    ,Boye Ergonomic Crochet Hook- Size H,Boye Ergo Crochet Hook in US Size H,Rubber handle is sculpted to fit securely in the crafters hand US Size H / 5mm Hook is made of aluminum,HARDLINES AND HOME,SCHOOL HOME OFFICE,CRAFTS,YARN AND ACC,YARN NEEDLES AND ACCS,L6-000004,L5-000025,L4-000905,L3-004336,L2-017568
